#Mean of hydro_01m.dat hydro_02m.dat hydro_03m.dat hydro_04m.dat hydro_05m.dat hydro_06m.dat hydro_07m.dat hydro_08m.dat hydro_09m.dat hydro_11m.dat
#Fields: dist.z  meanFes  stdDeviation  stdError
#gnuplot command: plot './mintozeroFes.dat' u 1:2:4 w e
 -0.1200  35.1853   5.5239   1.7468
 -0.1000  35.3070   5.4517   1.7240
 -0.0800  35.4431   5.4156   1.7126
 -0.0600  35.5699   5.4133   1.7118
 -0.0400  35.6718   5.4319   1.7177
 -0.0200  35.7434   5.4566   1.7255
  0.0000  35.7875   5.4779   1.7323
  0.0200  35.8117   5.4922   1.7368
  0.0400  35.8236   5.5001   1.7393
  0.0600  35.8288   5.5038   1.7405
  0.0800  35.8309   5.5055   1.7410
  0.1000  35.8317   5.5063   1.7413
